"filename", "language", "vue", "CSS", "XML", "SCSS", "Less", "TypeScript", "comment", "blank", "total"
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\App.vue", "vue", 8, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\base.css", "CSS", 0, 71, 0, 0, 0, 0, 2, 14, 87
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\css\appointment.css", "CSS", 0, 77, 0, 0, 0, 0, 5, 12, 94
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\css\appointmentlist.css", "CSS", 0, 84, 0, 0, 0, 0, 5, 12, 101
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\css\appointmentsuccess.css", "CSS", 0, 140, 0, 0, 0, 0, 5, 15, 160
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\css\confirmorder.css", "CSS", 0, 119, 0, 0, 0, 0, 6, 15, 140
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\css\hospital.css", "CSS", 0, 133, 0, 0, 0, 0, 5, 16, 154
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\css\index.css", "CSS", 0, 309, 0, 0, 0, 0, 10, 27, 346
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\css\login.css", "CSS", 0, 88, 0, 0, 0, 0, 4, 10, 102
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\css\personal.css", "CSS", 0, 120, 0, 0, 0, 0, 5, 11, 136
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\css\register.css", "CSS", 0, 60, 0, 0, 0, 0, 6, 10, 76
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\css\report.css", "CSS", 0, 188, 0, 0, 0, 0, 10, 23, 221
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\css\reportlist.css", "CSS", 0, 106, 0, 0, 0, 0, 5, 10, 121
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\css\selectdate.css", "CSS", 0, 147, 0, 0, 0, 0, 6, 20, 173
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\css\setmeal.css", "CSS", 0, 138, 0, 0, 0, 0, 6, 15, 159
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\framework\font-awesome\css\font-awesome.css", "CSS", 0, 2327, 0, 0, 0, 0, 10, 1, 2338
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\framework\font-awesome\css\font-awesome.min.css", "CSS", 0, 1, 0, 0, 0, 0, 3, 1, 5
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\framework\font-awesome\fonts\fontawesome-webfont.svg", "XML", 0, 0, 2671, 0, 0, 0, 0, 1, 2672
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\framework\font-awesome\less\animated.less", "Less", 0, 0, 0, 0, 28, 0, 2, 5, 35
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\framework\font-awesome\less\bordered-pulled.less", "Less", 0, 0, 0, 0, 17, 0, 3, 6, 26
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\framework\font-awesome\less\core.less", "Less", 0, 0, 0, 0, 8, 0, 2, 3, 13
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\framework\font-awesome\less\fixed-width.less", "Less", 0, 0, 0, 0, 4, 0, 2, 1, 7
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\framework\font-awesome\less\font-awesome.less", "Less", 0, 0, 0, 0, 13, 0, 4, 2, 19
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\framework\font-awesome\less\icons.less", "Less", 0, 0, 0, 0, 786, 0, 2, 2, 790
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\framework\font-awesome\less\larger.less", "Less", 0, 0, 0, 0, 9, 0, 3, 2, 14
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\framework\font-awesome\less\list.less", "Less", 0, 0, 0, 0, 16, 0, 2, 2, 20
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\framework\font-awesome\less\mixins.less", "Less", 0, 0, 0, 0, 41, 0, 10, 10, 61
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\framework\font-awesome\less\path.less", "Less", 0, 0, 0, 0, 11, 0, 3, 2, 16
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\framework\font-awesome\less\rotated-flipped.less", "Less", 0, 0, 0, 0, 12, 0, 4, 5, 21
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\framework\font-awesome\less\screen-reader.less", "Less", 0, 0, 0, 0, 2, 0, 2, 2, 6
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\framework\font-awesome\less\stacked.less", "Less", 0, 0, 0, 0, 17, 0, 2, 2, 21
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\framework\font-awesome\less\variables.less", "Less", 0, 0, 0, 0, 794, 0, 3, 4, 801
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\framework\font-awesome\scss\_animated.scss", "SCSS", 0, 0, 0, 28, 0, 0, 2, 5, 35
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\framework\font-awesome\scss\_bordered-pulled.scss", "SCSS", 0, 0, 0, 17, 0, 0, 3, 6, 26
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\framework\font-awesome\scss\_core.scss", "SCSS", 0, 0, 0, 8, 0, 0, 2, 3, 13
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\framework\font-awesome\scss\_fixed-width.scss", "SCSS", 0, 0, 0, 4, 0, 0, 2, 1, 7
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\framework\font-awesome\scss\_icons.scss", "SCSS", 0, 0, 0, 786, 0, 0, 2, 2, 790
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\framework\font-awesome\scss\_larger.scss", "SCSS", 0, 0, 0, 9, 0, 0, 3, 2, 14
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\framework\font-awesome\scss\_list.scss", "SCSS", 0, 0, 0, 16, 0, 0, 2, 2, 20
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\framework\font-awesome\scss\_mixins.scss", "SCSS", 0, 0, 0, 41, 0, 0, 10, 10, 61
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\framework\font-awesome\scss\_path.scss", "SCSS", 0, 0, 0, 11, 0, 0, 3, 2, 16
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\framework\font-awesome\scss\_rotated-flipped.scss", "SCSS", 0, 0, 0, 12, 0, 0, 4, 5, 21
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\assets\framework\font-awesome\scss\_screen-reader.scss", "SCSS", 0, 0, 0, 2, 0, 0, 2, 2, 6
